OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_16	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Unassigned
ASV_21	Bacteria	Verrucomicrobia	Spartobacteria	Unassigned	Unassigned	Spartobacteria_genera_incertae_sedis	Unassigned
ASV_10	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Unassigned
ASV_3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Unassigned	Unassigned
ASV_19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Methyloceanibacter	Unassigned
ASV_28	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_26	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Gp1	Unassigned
ASV_29	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_23	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Tepidamorphaceae	Tepidamorphus	Unassigned
ASV_24	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Unassigned	Unassigned
ASV_14	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Paeniglutamicibacter	Unassigned
ASV_22	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	Unassigned
ASV_12	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Unassigned	Unassigned
ASV_18	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Unassigned
ASV_9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Unassigned
ASV_7	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Unassigned
ASV_11	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Unassigned
ASV_31	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_36	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
ASV_8	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
ASV_4	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Unassigned	Unassigned	Unassigned
ASV_1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Tatumella	Unassigned
ASV_44	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_37	Archaea	Thaumarchaeota	Unassigned	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	Unassigned
ASV_15	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
ASV_40	Archaea	Thaumarchaeota	Unassigned	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	Unassigned
ASV_13	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Neobacillus	Unassigned
ASV_20	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Paeniglutamicibacter	Unassigned
ASV_5	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
ASV_25	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Unassigned
ASV_47	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_54	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_35	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Unassigned
ASV_33	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Unassigned
ASV_17	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Unassigned
ASV_30	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Unassigned
ASV_27	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
ASV_34	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned
ASV_32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Tepidamorphaceae	Tepidamorphus	Unassigned
ASV_39	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Unassigned	Unassigned
ASV_53	Bacteria	Firmicutes	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_45	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Thiobacillaceae	Thiobacillus	Unassigned
ASV_61	Bacteria	Acidobacteria	Acidobacteria_Gp4	Unassigned	Unassigned	Gp4	Unassigned
ASV_64	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_50	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Unassigned
ASV_46	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_69	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_38	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Unassigned
ASV_41	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Unassigned
ASV_62	Bacteria	Gemmatimonadetes	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_59	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_73	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_48	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Unassigned	Unassigned
ASV_74	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_49	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Unassigned	Unassigned
ASV_51	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	Unassigned
ASV_63	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Unassigned
ASV_70	Bacteria	Acidobacteria	Acidobacteria_Gp4	Unassigned	Unassigned	Gp4	Unassigned
ASV_56	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	Unassigned
ASV_43	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Tatumella	Unassigned
ASV_66	Bacteria	Firmicutes	Clostridia	Unassigned	Unassigned	Unassigned	Unassigned
ASV_79	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_55	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Pseudolabrys	Unassigned
ASV_52	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Unassigned
ASV_57	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Unassigned
ASV_65	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Unassigned
ASV_58	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Methyloceanibacter	Unassigned
ASV_76	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Bellilinea	Unassigned
ASV_72	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_87	Bacteria	Verrucomicrobia	Terrimicrobia	Terrimicrobiales	Terrimicrobiaceae	Terrimicrobium	Unassigned
ASV_93	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_67	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Microlunatus	Unassigned
ASV_71	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Unassigned
ASV_75	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Unassigned
ASV_85	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Unassigned
ASV_92	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Thermosporotrichaceae	Thermosporothrix	Unassigned
ASV_68	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Methyloceanibacter	Unassigned
ASV_42	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia	Unassigned
ASV_78	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Unassigned
ASV_60	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Unassigned
ASV_77	Bacteria	Acidobacteria	Acidobacteria_Gp16	Unassigned	Unassigned	Gp16	Unassigned
ASV_103	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_99	Bacteria	Verrucomicrobia	Spartobacteria	Unassigned	Unassigned	Spartobacteria_genera_incertae_sedis	Unassigned
ASV_96	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Longimicrobium	Unassigned
ASV_81	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Unassigned
ASV_90	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Unassigned
ASV_83	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Unassigned
ASV_101	Bacteria	Verrucomicrobia	Spartobacteria	Unassigned	Unassigned	Spartobacteria_genera_incertae_sedis	Unassigned
ASV_100	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Gp1	Unassigned
ASV_97	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Longimicrobium	Unassigned
ASV_98	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter	Unassigned
ASV_82	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Unassigned
ASV_86	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Unassigned	Unassigned
ASV_80	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Unassigned
ASV_84	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Unassigned
ASV_91	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Unassigned
ASV_89	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pararhizobium	Unassigned
ASV_94	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Unassigned
ASV_102	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Unassigned
ASV_95	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Unassigned
ASV_88	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
ASV_116	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	Unassigned	Chloroplast	Streptophyta	Unassigned
ASV_105	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	Unassigned
ASV_113	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
ASV_121	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Gp1	Unassigned
ASV_120	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Thiovulaceae	Sulfuricurvum	Unassigned
ASV_115	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Unassigned
ASV_117	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
ASV_108	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	Unassigned
ASV_112	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	Unassigned
ASV_109	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned
ASV_110	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Unassigned
ASV_130	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_104	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Dongia	Unassigned
ASV_111	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	Unassigned
ASV_119	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_incertae_sedis	Unassigned	Acidibacter	Unassigned
ASV_114	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Nitrobacter	Unassigned
ASV_127	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
ASV_107	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned
ASV_131	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Thermosporotrichaceae	Thermosporothrix	Unassigned
ASV_106	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinoallomurus	Unassigned
ASV_140	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter	Unassigned
ASV_129	Bacteria	Acidobacteria	Acidobacteria_Gp16	Unassigned	Unassigned	Gp16	Unassigned
ASV_141	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Thermomarinilinea	Unassigned
ASV_124	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodoplanes	Unassigned
ASV_126	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Tumebacillus	Unassigned
ASV_118	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia	Unassigned
ASV_125	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned
ASV_123	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Unassigned
ASV_139	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Terrimonas	Unassigned
ASV_137	Bacteria	Firmicutes	Clostridia	Unassigned	Unassigned	Unassigned	Unassigned
ASV_138	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Gp1	Unassigned
ASV_133	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Unassigned	Unassigned
ASV_153	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_122	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Tepidamorphaceae	Unassigned	Unassigned
ASV_142	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	Unassigned
ASV_132	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned
ASV_143	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexus	Unassigned
ASV_134	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto	Unassigned
ASV_155	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Flavisolibacter	Unassigned
ASV_147	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Unassigned
ASV_159	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	Unassigned	Chloroplast	Streptophyta	Unassigned
ASV_128	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unassigned
ASV_135	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Unassigned
ASV_163	Archaea	Thaumarchaeota	Unassigned	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	Unassigned
ASV_136	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	Unassigned
ASV_148	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Unassigned
ASV_166	Bacteria	Acidobacteria	Blastocatellia	Blastocatellales	Blastocatellaceae	Stenotrophobacter	Unassigned
ASV_145	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Unassigned	Unassigned
ASV_168	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Unassigned	Unassigned	Unassigned
ASV_151	Bacteria	Acidobacteria	Acidobacteria_Gp16	Unassigned	Unassigned	Gp16	Unassigned
ASV_162	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
ASV_146	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Unassigned
ASV_156	Bacteria	Acidobacteria	Acidobacteria_Gp10	Unassigned	Unassigned	Gp10	Unassigned
ASV_157	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Unassigned
ASV_154	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
ASV_150	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Piscinibacter	Unassigned
ASV_149	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Unassigned	Unassigned
ASV_164	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Gp1	Unassigned
ASV_169	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_144	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unassigned
ASV_167	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Longimicrobium	Unassigned
ASV_161	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Unassigned
ASV_173	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Unassigned	Unassigned
ASV_160	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodomicrobium	Unassigned
ASV_176	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Unassigned
ASV_152	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	Unassigned
ASV_188	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_172	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Unassigned
ASV_165	Bacteria	Acidobacteria	Acidobacteria_Gp16	Unassigned	Unassigned	Gp16	Unassigned
ASV_158	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unassigned
ASV_174	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter	Unassigned
ASV_183	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Niabella	Unassigned
ASV_196	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_189	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_186	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
ASV_177	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Unassigned
ASV_170	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Unassigned
ASV_184	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
ASV_180	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Gp1	Unassigned
ASV_175	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Unassigned	Unassigned	Unassigned
ASV_171	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Unassigned
ASV_179	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned
ASV_178	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned
ASV_205	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_181	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Labrys	Unassigned
ASV_187	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa	Unassigned
ASV_194	Bacteria	Firmicutes	Clostridia	Clostridiales	Unassigned	Unassigned	Unassigned
ASV_202	Archaea	Thaumarchaeota	Unassigned	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	Unassigned
ASV_190	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned
ASV_182	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Virgisporangium	Unassigned
ASV_209	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	Unassigned	Chloroplast	Streptophyta	Unassigned
ASV_211	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_197	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Unassigned
ASV_201	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	Unassigned
ASV_216	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_185	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Methyloligella	Unassigned
ASV_204	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
ASV_220	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_191	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Unassigned
ASV_192	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Phyllobacterium	Unassigned
ASV_206	Bacteria	Firmicutes	Clostridia	Unassigned	Unassigned	Unassigned	Unassigned
ASV_203	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
ASV_195	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Unassigned
ASV_193	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter	Unassigned
ASV_198	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Unassigned	Unassigned
ASV_226	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_212	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
ASV_199	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Unassigned	Unassigned
ASV_225	Bacteria	Verrucomicrobia	Spartobacteria	Unassigned	Unassigned	Spartobacteria_genera_incertae_sedis	Unassigned
ASV_207	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Unassigned
ASV_200	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Neobacillus	Unassigned
ASV_218	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Unassigned
ASV_227	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
ASV_228	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Paraflavitalea	Unassigned
ASV_214	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinocatenispora	Unassigned
ASV_208	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_incertae_sedis	Aciditerrimonas	Unassigned
ASV_215	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Boseaceae	Bosea	Unassigned
ASV_223	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Gp1	Unassigned
ASV_230	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
ASV_210	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unassigned
ASV_217	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Schlegelella	Unassigned
ASV_235	Bacteria	Acidobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_222	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Unassigned	Unassigned
ASV_213	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Unassigned
ASV_221	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_240	Bacteria	Acidobacteria	Acidobacteria_Gp17	Unassigned	Unassigned	Gp17	Unassigned
ASV_219	Bacteria	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Blastococcus	Unassigned
ASV_236	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidiferrimicrobium	Unassigned
ASV_237	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Unassigned
ASV_233	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Methyloversatilis	Unassigned
ASV_243	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter	Unassigned
ASV_231	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	Unassigned
